"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"25",3000000,0,"Climax","In the mid 90’s, 20 urban dancers join together for a three-day rehearsal in a closed-down boarding school located at the heart of a forest to share one last dance. They then make one last party around a large sangria bowl.  Quickly, the atmosphere becomes charged and a strange madness will seize them the whole night. If it seems obvious to them that they have been drugged, they neither know by who nor why. And it’s soon impossible for them to resist to their neurosises and psychoses, numbed by the hypnotic and the increasing electric rythm of the music… While some feel in paradise, most of them plunge into hell.",2.034771,0,"2018-09-19","Released",96,"Rectangle Productions., Wild Bunch, A24, ","France, "
"26",0,0,"Manos Returns","MANOS Returns is the follow up film to the cult favorite Manos: The Hands of Fate, created by Jackey Neyman Jones who portrayed Debbie from the original film.",2.81568,0,"2018-05-04","Released",67,", , ",", , "
"27",1000,0,"Death Virgins","DEATH VIRGINS is a film about a bloodthirsty feminist cult, hellbent on destroying the patriarchy. Created by two horror fans who were bored of seeing the same archaic subtext repackaged again and again, deciding to create a film that subverts and heightens sexist, racist, homophobic horror tropes.",1.255644,0,"2018-05-03","Released",NA,", , ",", , "
"28",0,0,"Bloodrunner Zero","A woman cuts her wrist.",1.354427,0,"2018-04-29","Post Production",15,", , ","Japan, "
"29",0,0,"Housesitters","Angie and Izzy get a housesitting gig that seems too good to be true. Gruesome supernatural hijinks ensue.",2.969231,1,"2018-04-28","Post Production",63,"Tomorrow Romance, ","United States of America, "
"30",0,0,"Eyelash","Nothing ever went right for Ellie until, in the blink of an eye, everything did. But she should have been careful what she wished for.",0.846833,0,"2018-04-28","Released",27,", , ","United States of America, "
"31",7,0,"Let's Be Friends","Connor, the new kid in school, is a lonely boy whose only friend is a stuffed toy named Beadie. When Conner brings Beadie to school, despite his father's warnings, a run in with a bully leads to horrific consequences.",1.398194,0,"2018-04-27","Released",9,"UConn Film Club, ",", , "
"32",0,0,"The Dark","A murderous, flesh-eating undead young girl haunting the remote stretch of woods where she was murdered decades earlier, discovers a kidnapped and abused boy hiding in the trunk of one of her victim’s cars. Her decision to let the boy live throws her aggressively solitary existence into upheaval, and ultimately forces her to re-examine just how much of her humanity her murderer was able to destroy.",0.908609,0,"2018-04-21","Post Production",95,"First Love Films, Dor Film Produktionsgesellschaft GmbH, ","Austria, "
"33",0,0,"Helsinki Mansplaining Massacre","One woman’s desperate struggle to survive a horde of men with frail egos, who just want to explain everything to her. But the biggest horror may be closer to her than she thinks.",0.942294,0,"2018-04-21","Released",15,"YLE, Suomen Elokuvasäätiö, AVEK, Oy Bufo Ab, ","Finland, "
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"36",0,0,"The Farm","The classic horror tale of a young couple who takes a wrong turn and stumbles into a small town full of people with nefarious intentions is turned on its head in this disturbing manifesto about food production. Seeping with eerie atmosphere, this unnerving first feature from newcomer Hans Stjernswärd finds as much fear in its silences as it does in its sickening, insidious images.",0.658611,0,"2018-04-20","Released",80,"Hans Stjernswärd Film Production, ",", , "
"37",0,0,"Violence Voyager","Following an end-of-term school ceremony, the American boy Bobby decides to go with his friend Akkun into the mountains outside their village, to a place perfect for a secret base. On the way they stop into a mysterious amusement park. They have fun there, but are attacked and cannot leave. Falling in with some other children who are also lost there, they fend off a number of attacks, and gradually learn the truth behind the facility.",0.581301,0,"2018-04-18","Released",84,"A-toys, Katsu-do, ",", , "
"38",0,0,"Is Someone in There","A tired man walk's into a hotel to spend the night. Once he encounters the strangely energetic Night Porter, the man starts to show interest in the door numbered 909. As the man continues his stay he starts to realize that something very strange is going on in the hotel, or is it the person staying in room 909.",0.572002,1,"2018-04-15","Released",15,", , ","United States of America, "
"39",0,0,"The Nursery","When college freshman Ranae agrees to babysit for a family with a tragic past, her run-of-the-mill Saturday night quickly turns into a confrontation with unspeakable horror. Stalked by a sinister presence and haunted by ghosts from her own past, Ranae and her friends must confront an angry, evil spirit determined to hunt them down one-by-one on a deliberate march toward its ultimate prey in THE NURSERY",0.631788,0,"2018-04-15","Released",83,", , ","United States of America, "
"40",3500000,0,"Truth or Dare","A harmless game of “Truth or Dare” among friends turns deadly when someone—or something—begins to punish those who tell a lie—or refuse the dare.",35.756518,150,"2018-04-12","Released",100,"Blumhouse Productions, ","United States of America, "
"41",0,0,"Just Like a Mother","",0.491028,0,"2018-04-11","Released",27,", , ","Japan, "
"42",0,0,"Don’t Go Down to Wildor","A new horror short film set to premiere in April at CANNESERIES as part of FOX Digital's ""Bite Size Horror"" digital series.",0.855885,0,"2018-04-11","Released",2,"Bloody Cuts, ","United Kingdom, "
"43",0,0,"Maw","Richard has an unusual fantasy: he gets sexually aroused by the idea of being devoured by an animal. In a contact add he gets to know Max and with that encounter the chance of making his fantasy real. But does he dare?",0.882,0,"2018-04-07","Released",18,", , ","Belgium, "
"44",0,0,"Memento Mori","Memento Mori is about a girl who's stuck in a dream circle, reliving key moments of a traumatic event. What happened to her? And will she survive this nightmare before time runs out?",0.448695,0,"2018-04-07","Released",72,", , ",", , "
"45",0,0,"Shhhh","While Harris and his Mother enjoy bonding at the movies, it seems the jerks in the theaters are making it harder for them to enjoy the show. Soon someone starts murdering those disrupting the film, and now Harris finds himself not only confronting his past, but questioning his own sanity as well.",4.951657,0,"2018-04-01","Released",80,", , ",", , "
"46",0,0,"Why Hide?","A diverse group of friends gather for the festive season in a remote lodge but soon plans go awry. One of the friends goes missing and the truth behind why the lodge was booked for the holiday is disclosed. Christmas quickly turns to chaos and a bloody nightmare ensues...",0.812848,1,"2018-03-30","Released",85,"Plenitude Productions, ","United Kingdom, "
"47",0,0,"The Isle","1840 and another ship crashes on the rocks of an almost deserted island in Scotland. Three sailors survive the wreck and make it to shore where the few locals take them in as they wait for the mainland boat to come for them. But the sailors' survival story has only just started as they uncover the strange past of the once vibrant island.",0.012464,0,"2018-03-30","Released",96,", , ",", , "
"48",0,0,"Compulsion","To give in, the blood must flow.",0.341024,0,"2018-03-24","Released",17,"150 Films, ","Canada, "
