"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"24",0,0,"Friend of the World","After a catastrophic war, an eccentric general guides a filmmaker through a ravaged bunker.",2.456189,0,"2018-12-31","Post Production",NA,"Rosewood 5, Rosewood 5 Studios, Rosewood Five, ","United States of America, "
"25",0,0,"If Beale Street Could Talk","After a black man is jailed for a crime he didn't commit, his pregnant fiancé does all she can to free him. Adapted from James Baldwin's 1974 novel.",2.897215,0,"2018-12-31","Planned",NA,"Annapurna Pictures, ","United States of America, "
"26",0,0,"My Favorite Thing Is Monsters","Set against the tumultuous political backdrop of late ’60s Chicago, My Favorite Thing Is Monsters is the fictional graphic diary of 10-year-old Karen Reyes, filled with B-movie horror and pulp monster magazines iconography. Karen Reyes tries to solve the murder of her enigmatic upstairs neighbor, Anka Silverberg, a holocaust survivor, while the interconnected stories of those around her unfold. When Karen’s investigation takes us back to Anka’s life in Nazi Germany, the reader discovers how the personal, the political, the past, and the present converge.",0.663269,0,"2018-12-31","Planned",NA,", , ",", , "
"27",0,0,"Ruin","A former Nazi captain anonymously travels the ruins of post-World War II Germany seeking to atone for his crimes by hunting down the members of the SS Death Squad who once worked under him.",1.558113,0,"2018-12-31","Planned",NA,", , ",", , "
"28",0,0,"The Tree of Blood","Young couple Marc and Rebeca travel to an old country house that used to belong to their family: once there, they will write the shared history of their roots, creating a huge family tree that harbours relationships of love, heartbreak, sex, madness, jealousy and infidelity… and under which also lies a history laden with secrets.",0.274408,0,"2018-12-31","Post Production",NA,", , ",", , "
"29",0,0,"Green River: Part Three","Theresa, a grief counsellor, struggles to cope with the trauma this serial killer is inflicting on her community. With her marriage and sanity at stake, she takes matters into her own hands, determined to bring closure to this nightmare.",0.142867,0,"2018-12-31","Planned",NA,"Catch You Next Tuesday, The Saddest Man, ","United States of America, "
"30",0,0,"The Mule","A 90-year-old horticulturalist and WWII veteran is caught transporting $3 million worth of cocaine through Michigan for a Mexican drug cartel.",1.651617,0,"2018-12-31","In Production",NA,", , ",", , "
"31",0,0,"In the Blood","The story of Selina, a vampire who returns to a remote farmstead to destroy the last vestiges of her humanity — her long abandoned son.",0.096094,0,"2018-12-31","Planned",NA,"Retro Active Films, ","Australia, "
"32",0,0,"Walking to Paris","The 27 year old Romanian sculptor Constantin Brancusi walked from Romania to Paris in 1903 and 1904 as a preparation and prelude to becoming the most important sculptor of the 20th century. Brancusi leaves his small village of Hobitza, south of the Carpathian Mountains and walks through Romania, Hungary, Austria, Germany, Switzerland, and parts of France to arrive in Paris, the metropolis of world culture for the first three decades of the 1900s. He walks in spring, summer, winter and autumn, treading the landscape away from the beaten track, experiencing sights, having adventures, suffering hardships, looking, touching and feeling the world as a preparation of what is to come for him.",2.528849,0,"2018-12-31","Post Production",NA,"Cinatura, Abis Studi, Catherine Dussart Productions (CDP), ","United Kingdom, "
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,", , ",", , "
"36",0,0,"Cortazar in love","Story based on true and fiction events and includes some period from the life of famous Argentine writer ""Julio Cortazar"". The action is taking place in the twenties of the last century in Argentina.",0.131615,0,"2018-12-05","Released",88,"Channel 4 Television Corporation, ","Argentina, "
"37",0,0,"Behind The Dust","When tragedy strikes a vain and materialistic housewife, she is forced to re-evaluate her lifestyle and vows to put her privilege to good use by seeking out the right person to inherit her wealth under the guise of an elderly woman who needs assistance cleaning her home.",0.154181,0,"2018-12-01","In Production",NA,"Genesis Productions, ","Australia, "
"38",0,0,"Outlaw King","An epic period drama that will tell a different version than Braveheart did on Robert The Bruce, the king who led his country to freedom from the oppressive rule of England in Scotland.",0.961097,1,"2018-11-23","In Production",NA,"Anonymous Content, Sigma Films, ","United Kingdom, "
"39",0,0,"Radegund","The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II and is executed by them in 1943. Opening at Jägerstätter’s home in Austria’s countryside, the film follows Franz and his wife, Fani, along their path of resistance. Told through real wartime letters, this love story finds the couple in conflict with the members of their close-knit town, their church, their government, and even their friends — all of which brings them to a dramatic choice.",1.112651,1,"2018-11-01","Post Production",NA,"Studio Babelsberg, ","Germany, United States of America, "
"40",0,0,"Trainer","Fictionalized biography of finnish media person and businessman, Jari Sarasvuo.",2.522919,0,"2018-10-17","In Production",NA,"Optipari Oy, ","Finland, "
