"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"26",0,0,"Goldstone","GOLDSTONE, the award-winning new feature from Australian auteur Ivan Sen (Mystery Road), is a complex and stylish crime thriller that explores themes of racism, human trafficking, police corruption, corporate malfeasance, and the trampling of indigenous people’s rights.  On the trail of a missing person, troubled indigenous detective Jay Swan (Aaron Pedersen, Mystery Road) finds himself in the small mining town of Goldstone, where he is arrested for drunk driving by local cop Josh (Alex Russell, CBS’s “S.W.A.T.”). When Jay’s motel room is blasted with gun fire, it becomes clear that something larger is at play. While struggling to overcome their mutual distrust, Jay and Josh uncover a web of crime and corruption, which leads directly to the town’s cold-blooded Mayor (two-time Oscar nominee Jacki Weaver, Silver Linings Playbook) and its smarmy gold mine director (David Wenham, Lord of the Rings).",2.608889,27,"2016-07-07","Released"
"27",12000000,37589296,"Hell or High Water","A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.",12.792816,1828,"2016-08-12","Released"
"28",0,0,"Poor Boy","Two misfit brothers hustle cash and chase dreams in the desert. When a mysterious woman threatens to repo their beloved houseboat the brothers cook up an epic con to finally leave their dusty town and sail off on a beam of sunshine to California.",0.482036,1,"2016-04-17","Released"
"29",0,0,"Brimstone","In the menacing inferno of the old American West, Liz is a genuine survivor who is hunted by a vengeful preacher for a crime she didn’t commit.",9.264232,314,"2016-03-12","Released"
"30",0,53647,"In a Valley of Violence","The story of a drifter named Paul who arrives in a small town seeking revenge on the thugs who murdered his friend. Sisters Mary Anne and Ellen, who run the town's hotel, help Paul in his quest for vengeance.",8.280321,154,"2016-10-21","Released"
"31",0,0,"Outlaws and Angels","A gang of cold-blooded outlaws narrowly escapes a blood-soaked bank robbery in a grimy frontier town. With a notorious bounty hunter hot on their trail, these nefarious criminals desperately need a place to hide out before night falls. Fate brings them to the home of the Tildons, a seemingly innocent family with two feisty daughters. As the men settle in, an impetuous game of cat and mouse plays out during the cold, black night. Come morning, nothing will ever be the same.",4.935741,35,"2016-01-25","Released"
"32",135000000,532950503,"The Revenant","In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",20.916987,8389,"2015-12-25","Released"
"33",44000000,155760117,"The Hateful Eight","Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.",19.53666,5818,"2015-12-25","Released"
"34",0,0,"Borrowed Time","A weathered Sheriff returns to the remains of an accident he has spent a lifetime trying to forget. With each step forward, the memories come flooding back. Faced with his mistake once again, he must find the strength to carry on.",3.691588,80,"2015-10-31","Released"
"35",0,0,"Diablo","A young civil war veteran is forced on a desperate journey to save his kidnapped wife.",4.959249,84,"2016-01-08","Released"
