"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"85",50000000,83719388,"The Judge","A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",13.080467,1822,"2014-10-08","Released"
"86",18000000,35692920,"127 Hours","The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.",8.70779,3390,"2010-11-05","Released"
"87",44000000,155160045,"The Accountant","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",10.447151,2707,"2016-10-14","Released"
"88",35000000,411348924,"Batman","The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.",12.810807,2859,"1989-06-23","Released"
"89",30000000,0,"The Hudsucker Proxy","A naive business graduate is installed as president of a manufacturing company as part of a stock scam.",7.884494,358,"1994-03-11","Released"
"90",60000000,170268750,"Starsky & Hutch","Join uptight David Starsky and laid-back Ken ""Hutch"" Hutchinson as they're paired for the first time as undercover cops. The new partners must overcome their differences to solve an important case with help from street informant Huggy Bear and persuasive criminal Reese Feldman.",8.897091,863,"2004-03-05","Released"
"91",34000000,50282766,"Natural Born Killers","Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.",12.750024,1237,"1994-08-25","Released"
"92",12500000,12281551,"True Romance","Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",12.678025,988,"1993-09-09","Released"
"93",80000000,311950384,"The Lego Batman Movie","In the irreverent spirit of fun that made “The Lego Movie” a worldwide phenomenon, the self-described leading man of that ensemble—Lego Batman—stars in his own big-screen adventure. But there are big changes brewing in Gotham, and if he wants to save the city from The Joker’s hostile takeover, Batman may have to drop the lone vigilante thing, try to work with others and maybe, just maybe, learn to lighten up.",12.596813,2114,"2017-02-08","Released"
"94",15000000,377910544,"Slumdog Millionaire","Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating.",11.432996,3996,"2008-05-12","Released"
"95",150000000,474968763,"Charlie and the Chocolate Factory","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",13.917466,5641,"2005-07-13","Released"
