"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"22",0,0,"River's Edge","Haruna Wakagusa is a high school student who lives with her mother. Ichiro Yamada is gay and Haruna’s classmate. He is bullied at school, but Haruna sticks up for Ichiro. They become intimate and Ichiro tells Haruna his secret. He found a dead body along the riverside. A new body is soon found.",0.260773,0,"2018-02-16","Released",118,"Kino Films, ","Japan, "
"23",40000000,41782301,"Annihilation","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",61.104101,1870,"2018-02-22","Released",115,"DNA Films, Paramount, Scott Rudin Productions, Skydance Media, ","United Kingdom, United States of America, "
"24",0,0,"<U+7075><U+9B42><U+6446><U+6E21>·<U+9EC4><U+6CC9>","",0.336644,1,"2018-02-01","Released",NA,", , ","China, "
"25",0,0,"I Have a Date with Spring","A director who hasn't been able to film a new movie in almost a decade, has been working strenuously on a story about the earth's destruction. One day, he hears a great explosion, and is soon visited by four strangers.",0.186505,0,"2018-02-01","Released",93,", , ",", , "
"26",0,0,"Nancy","Nancy becomes increasingly convinced she was kidnapped as a child. When she meets a couple whose daughter went missing thirty years ago, reasonable doubts give way to willful belief.",2.526466,0,"2018-01-20","Released",87,"Gamechanger Films, ","United States of America, "
"27",0,0,"Hereditary","After their reclusive grandmother passes away, the Graham family tries to escape the dark fate they've inherited.",7.940988,7,"2018-06-04","Released",127,"Windy Hill Pictures, PalmStar Media, ","United States of America, "
"28",0,0,"Summer of '84","Summer is usually a time for fun and games, but some teens get much more danger than they bargained for after beginning to suspect their neighbor is a serial murderer.",2.345413,1,"2018-01-18","Post Production",105,", , ","Canada, United States of America, "
"29",0,0,"Feed Your Demons","Stop-motion short film about a young boy who stumbles upon a mysterious box in the attic.",0.165125,0,"2018-01-18","Released",5,", , ","United Kingdom, "
"30",30000000,119757158,"The Commuter","A businessman on his daily commute home gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.",38.172515,1113,"2018-01-11","Released",104,"StudioCanal, Ombra Films, Lions Gate, ","France, United Kingdom, United States of America, "
"31",0,0,"Cover Versions","On the eve of their biggest gig ever, the members of synth-rock band Starfoxy throw a rager that ends with a fan mysteriously dead in the pool.",0.680292,4,"2018-01-03","Released",84,"Off The Dock, ","United States of America, "
"32",0,0,"Green River: Part Two","Small town USA. 40 women are dead. Troubled by the death of her close friend, Rebecca’s grief quickly manifests into a morbid series of encounters and uninvited guests.",1.145712,0,"2017-12-31","Released",22,"Catch You Next Tuesday, The Saddest Man, ","United States of America, "
"33",0,0,"Kyrsyä: Tuftland","Headstrong textile student Irina tries to overcome her problems by accepting a summer job offer from an isolated and offbeat village of Kyrsyä. As Irina begins to get a grip of herself, the harmless and offbeat hillbillies begin to reveal their true nature.",0.558967,0,"2018-04-13","In Production",89,"Hiski Show, Bright Fame Pictures, Tapahtumatuotanto Kolmas Pyörä, ","Finland, "
"34",0,0,"Godzone","Two friends try to re-unite by going on a road-trip to the forests and mountains. Their attempt to reconcile does not go easy due to the secrets they hold, and a shocking revelation ends their journey.",0.158623,1,"2017-12-08","Post Production",70,"KochiTown Films, Fookdat Productions, ","Denmark, India, "
"35",0,0,"Do It Yourself","A small-time crook agrees to star in a viral video that will restore the image of a businessman who acts against the law. When he realizes that he is the next victim in this man’s list, he struggles to save himself at any cost, in this suspenseful action film.",0.319077,0,"2018-03-08","Released",97,"Viewmaster Films, ","Greece, "
"36",0,0,"Coyotes Kill for Fun","A backwoods babysitter agrees to help an abused mother of two escape her lunatic boyfriend, but his psychotic brother is headed back to the area, and he has a fraught history with everyone involved.",0.154763,0,"2017-11-04","Released",77,"Sho Me Productions, ","United States of America, "
"37",55000000,351717054,"Murder on the Orient Express","Genius Belgian detective Hercule Poirot investigates the murder of an American tycoon aboard the Orient Express train.",28.004067,3072,"2017-11-03","Released",114,"The Mark Gordon Company, Scott Free Productions, Latina Pictures, Genre Films, The Estate of Agatha Christie, 20th Century Fox, ","United Kingdom, United States of America, "
