"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"199",0,0,"Caminho dos gigantes","",0.089463,1,"2016-06-13","Released",NA,"Sinlogo Animation, ","Brazil, "
"200",0,0,"Rico Shade","In a comic book like world, a mysterious vigilante protects the streets from evil. When a villain named ""The Face"" commits an evil act, it is up to Rico Shade to stop him.",0.123677,2,"2016-06-10","Released",5,", , ","United States of America, "
"201",0,0,"Judgement Tavern","Judgment Tavern tells the story of Lucia, a young girl carrying her father's living head as they search for his fleeing body. On a cold dark night, they take shelter in a small village tavern - where a mysterious stranger with unfinished business is waiting.",0.056707,0,"2016-06-09","Released",11,"New Zealand Film Commission, Useful Media, ","New Zealand, "
"202",0,0,"Destined","A man navigates parallel realities: one as a hardened criminal who has spent years building his drug empire; the other as an ambitious architect who has been working his way up the corporate ladder.",0.510127,3,"2017-11-17","Released",95,"Whitewater Films, Confluential Films, Lola's Productions, Tilted Windmill Productions, ","United States of America, "
"203",135000000,245623848,"Teenage Mutant Ninja Turtles: Out of the Shadows","After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",13.020287,1346,"2016-06-01","Released",112,"5150 Action, Paramount, Nickelodeon Movies, Platinum Dunes, Gama Entertainment Partners, ","United States of America, "
"204",0,0,"MESSiAH","In a playful collision of cultures, a hapless Irishman and his Parisian girlfriend get more than they bargained for when they encounter a particularly mischievous stranger in the spectacular Australian wilderness.",0.053512,0,"2016-06-01","Released",15,", , ","Australia, "
"205",0,0,"The Match Girl","Rin (Sumire Sato) is a girl who sells matches. The buyers of the matches can fulfill their dreams by lighting the match, but they are also playing with fire. Based on manga series ""Match Shoujo"" by Sanami Suzuki (first published 2014 in monthly seinen manga magazine Young Ace). ""Match Shoujo"" is motivated by the short story “The Little Match Girl” written by Hans Christian Andersen and published in 1845.",0.027312,0,"2016-05-28","Released",94,"Horipro, ","Japan, "
"206",170000000,299370084,"Alice Through the Looking Glass","In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.",12.964275,2523,"2016-05-25","Released",113,"Legend3D, Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, ","United Kingdom, United States of America, "
"207",160000000,433677183,"Warcraft","The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",15.983232,3045,"2016-05-25","Released",123,"Legendary Entertainment, Universal Pictures, Atlas Entertainment, Blizzard Entertainment, ","Canada, China, Japan, United States of America, "
"208",0,0,"Kitty","A girl dreams of becoming a kitten.",0.321525,0,"2016-05-20","Released",15,"First Generation Films, ","United States of America, "
