"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"20",0,0,"The Missing Woman","An award-winning performer trio and a sophisticated story characterize the thrilling TV thriller ""The Missing Woman"". From the naive betrayed to the tough revenge angel Corinna Harfouch turns into the lead role. At her side, Ulrich Matthes silently plays a professional killer, who does not look at the cards. Never laying an excuse, is the Dortmund crime scene commissar Jörg Hartmann in the role of a shameless swindler. Because all three want to cash in on the life insurance, begins a game of fraud and extortion, in which also the red light milieu interferes.",0.188682,3,"2016-06-22","Released",90,"Studio Hamburg Letterbox Filmproduktion, ","Germany, "
"21",0,0,"Sag mir nichts","Lena is happily married. From the strange man in the S-Bahn but such a pull goes out that she gets involved in a spontaneous infidelity. The stranger, Martin, also thought that the marriage with his wife was completely safe. Nevertheless, what should actually be written off as an adventure between Lena and Martin is becoming the projection screen for newly created needs and longings. Lena and Martin can not let go of each other.",1.388068,7,"2016-06-15","Released",90,"Eikon-Südwest, ","Germany, "
"22",0,0,"Königin der Nacht","",0.362417,1,"2016-06-15","Released",NA,"SWR, ","Germany, "
"23",0,0,"The White Rabbit","A young 13-years-old girl searchs for love in the internet. But the truth about the persons behind the computers can be terrible.",0.645422,9,"2016-06-03","Released",88,"SWR, ","Germany, "
"24",0,0,"Nadia","Nadia raised, alone, her son Noé in Paris suburbs. She is proud when he is accepted in second in the prestigious high school Henri IV. To promote her studies, she moved to Paris and went into debt to offer what others have. She discovers the pleasure of buying, unknowingly developing an addiction to consumption. Even as her son manages to adapt to his new high school, she can not stop.",0.029747,0,"2016-02-10","Released",89,"TV5 Monde, France Télévisions, Murmures Productions, Centre National de la Cinématographie, ","France, "
"25",0,0,"Lea","Lea grew up in a crime family in Calabria. The father of her daughter Denise is also a member of the Mafia. Lea, however, wants a different life for her daughter, free of violence, fear and falsehood. She decides to cooperate with justice, to benefit of the witness protection scheme and attempts to run away... Inspired by the true story of Lea Garofalo, the struggle of a woman to escape the Mafia.",0.372833,3,"2016-07-13","Post Production",95,"Paname Distribution, Bi.Bi Film, Rai Fiction, Rendez-vous, ","Italy, "
"26",0,0,"600 PS für zwei","",0.060847,0,"2015-10-22","Released",NA,"Wiedemann & Berg Television, ","Germany, "
"27",0,0,"Demimonde","The story of three women - a famous prostitute, her housekeeper and their new maid - living in Budapest of 1910s, whose passionate, bizarre and complex relationship can only lead to one thing: murder.",1.069664,13,"2015-12-30","Released",88,"Szupermodern Stúdió, ","Hungary, "
"28",0,0,"Der weisse Äthiopier","In Ethiopia, Frank Michalka (Jürgen Vogel) has found a new home and left his criminal past behind. But happiness does not last long and the former offender must go back to Germany. Once there, he immediately falls back into old patterns and robbed a bank.",0.621564,5,"2015-07-03","Released",111,"WDR, ","Ethiopia, Germany, "
"29",0,0,"Brief an mein Leben","",0.067457,1,"2015-06-26","Released",90,", , ","Germany, "
"30",0,0,"Meat Loaf: In and Out of Hell","Documentary featuring an intimate profile of American rock legend Meat Loaf, spanning from his childhood of domestic violence, through a decade of rejection by record companies to global fame, bust-ups and a major comeback.",0.062684,1,"2015-01-09","Released",60,", , ",", , "
"31",0,0,"A & E: When Patients Attack","Hospital staff are reporting more violence and anti-social behaviour than ever before. In 2015, 8 staff were assaulted every hour – a new record high.  At The Queen Elizabeth Hospital in Birmingham – one of the UK’s biggest hospitals – they think they have the answer. Here a private security force of 46 uniformed guards, and a sophisticated CCTV system, keep staff and patients safe.  A colourful mixture of characters ranging from ex-soldiers, to bouncers, to former elite sportsmen, it’s the security team’s job to keep the hospital running smoothly.  With more than 2 million visitors they have to deal with all aspects of crime and anti-social behaviour. All against a back drop of life changing and life saving procedures.",0.167547,1,"2015-01-01","Released",43,"TCB Media Rights, Nine Lives Media, ","United Kingdom, "
"32",0,0,"Batman Beyond Darwyn Cooke's Batman 75th Anniversary Short","Terry faces off against a much younger Batman",3.074553,17,"2014-04-19","Released",2,"Warner Bros. Animation, DC Comics, ","United States of America, "
"33",0,0,"Volare","Seven people interested in the study of dreams meet in a cottage to share experiences. Upon awakening after the first night, Jonah, a newcomer to the group, finds a stranger in her bed: the beautiful girl who had done the autopsy yesterday.",0.032199,0,"2013-02-05","Released",82,", , ","Spain, "
"34",0,0,"Eine Hand wäscht die Andere","",0.68399,2,"2012-09-30","Released",NA,"FSK, ","Germany, "
"35",0,0,"Iris","Iris is ingenious neo-noir comedy set in Croatia 90, in the gloomy post-war era dominated by tycoons, corruption and war profiteers.",0.007483,0,"2012-01-01","Released",29,"Grupa Sedam, ","Croatia, "
"36",6000000,0,"Rasputin","A group of Russian noblemen want to maintain the monarchy and plan to kill Rasputin.",1.463947,8,"2011-12-30","Released",103,", , ","France, Russia, "
"37",0,0,"Secrets of the Tribe","What happens when western anthropologists descend on the Amazon and make one of the last unacculturated tribes in existence, the Yanomami, the most exhaustively filmed and studied tribe on the planet? Despite their ""do no harm"" creed and scientific aims, the small army of anthropologists that has studied the Yanomami since the 1960s has wreaked havoc among the tribe - and sparked a war within the anthropology community itself.",0.043616,1,"2010-01-22","Released",98,"Yleisradio (YLE), Danmarks Radio (DR), Screen East, Impact Partners, Zazen Producciones, Avenue B Productions, SBS TV, Stampede Films, British Broadcasting Corporation (BBC), HBO Documentary Films, ARTE France Cinéma, ","Brazil, United Kingdom, United States of America, Venezuela, "
"38",0,0,"The Wishing Well","Widower, Mark Jansen, owns and runs the local newspaper for the Midwest town he grew up in. As he struggles to make ends meet, his daughter takes his happiness into her hands by going down to the famous wishing well their little town is known for, and wishing for just that - his happiness. Shortly after, a glamorous woman appears in town by the name of Cynthia Tamerline. Lead by Mark's daughter, Cynthia makes a trip to the well herself and casts a wish. When she wakes up the next morning, she finds that she has been transported to an alternate universe that ultimately changes her forever.",0.325658,3,"2010-01-09","Released",90,", , ","United States of America, "
"39",0,0,"The Rockford Files","",0.006854,0,"2010-01-01","Released",NA,"Universal Media Studios (UMS), Carousel Television, Film 44, ","United States of America, "
"40",0,0,"Moana","The life story of Italian iconic pornographic actress Moana Pozzi. The actress Ilona Staller sued the production of the film for the unauthorized use of the character ""Cicciolina"", of which she owned the rights.",1.59249,9,"2009-11-01","Released",181,"Polivideo, Sky Italia, ","Italy, "
"41",0,0,"VH1 Divas 2009","VH1 Divas: An Honors Concert For The VH1 Save The Music Foundation aired live on September 17, 2009 at the Brooklyn Academy of Music (BAM) Howard Gilman Opera House in Brooklyn, New York. Paula Abdul hosted and performed. This concert, which featured a new and younger crop of divas as headliners, has not been released on CD or DVD.",0.026918,0,"2016-02-20","Released",NA,", , ",", , "
"42",0,0,"Colours By Numbers - the Sudokumentary","Australia's first national sudoku team The Numbats - four ex-rugby mates - travel into the unknown of competitive puzzling as they enter the World Sudoku Championships in Goa, India.",0.005012,0,"2009-02-02","Released",48,"Findlay Films, Legitimate Films, ","Australia, "
